# step       rmse_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  22500      1.33e-04      1.33e-04    1.0e-04
  22600      1.33e-04      1.33e-04    1.0e-04
  22700      1.32e-04      1.32e-04    1.0e-04
  22800      1.34e-04      1.34e-04    1.0e-04
  22900      1.51e-04      1.51e-04    1.0e-04
  23000      1.70e-04      1.70e-04    1.0e-04
  23100      5.41e-04      5.41e-04    1.0e-04
  23200      4.94e-04      4.94e-04    1.0e-04
  23300      1.73e-04      1.73e-04    1.0e-04
  23400      3.88e-04      3.88e-04    1.0e-04
  23500      4.28e-04      4.28e-04    1.0e-04
  23600      2.19e-04      2.19e-04    1.0e-04
  23700      1.53e-04      1.53e-04    1.0e-04
  23800      1.30e-04      1.30e-04    1.0e-04
  23900      1.48e-04      1.48e-04    1.0e-04
  24000      2.96e-04      2.96e-04    1.0e-04
  24100      1.81e-04      1.81e-04    1.0e-04
  24200      1.33e-04      1.33e-04    1.0e-04
  24300      1.45e-04      1.45e-04    1.0e-04
  24400      3.01e-04      3.01e-04    1.0e-04
  24500      1.35e-04      1.35e-04    1.0e-04
  24600      3.37e-04      3.37e-04    1.0e-04
  24700      6.19e-04      6.19e-04    1.0e-04
  24800      3.89e-04      3.89e-04    1.0e-04
  24900      4.54e-04      4.54e-04    1.0e-04
  25000      1.26e-04      1.26e-04    5.6e-05
  25100      1.26e-04      1.26e-04    5.6e-05
  25200      1.26e-04      1.26e-04    5.6e-05
  25300      1.26e-04      1.26e-04    5.6e-05
  25400      1.26e-04      1.26e-04    5.6e-05
  25500      1.25e-04      1.25e-04    5.6e-05
  25600      1.25e-04      1.25e-04    5.6e-05
  25700      1.25e-04      1.25e-04    5.6e-05
  25800      1.25e-04      1.25e-04    5.6e-05
  25900      1.25e-04      1.25e-04    5.6e-05
  26000      1.25e-04      1.25e-04    5.6e-05
  26100      1.25e-04      1.25e-04    5.6e-05
  26200      1.24e-04      1.24e-04    5.6e-05
  26300      2.95e-04      2.95e-04    5.6e-05
  26400      1.24e-04      1.24e-04    5.6e-05
  26500      3.35e-04      3.35e-04    5.6e-05
  26600      1.24e-04      1.24e-04    5.6e-05
  26700      1.30e-04      1.30e-04    5.6e-05
  26800      1.49e-04      1.49e-04    5.6e-05
  26900      1.28e-04      1.28e-04    5.6e-05
  27000      2.30e-04      2.30e-04    5.6e-05
  27100      1.70e-04      1.70e-04    5.6e-05
  27200      1.47e-04      1.47e-04    5.6e-05
  27300      1.80e-04      1.80e-04    5.6e-05
  27400      1.50e-04      1.50e-04    5.6e-05
  27500      3.02e-04      3.02e-04    5.6e-05
  27600      1.65e-04      1.65e-04    5.6e-05
  27700      1.64e-04      1.64e-04    5.6e-05
  27800      2.04e-04      2.04e-04    5.6e-05
  27900      1.25e-04      1.25e-04    5.6e-05
  28000      1.70e-04      1.70e-04    5.6e-05
  28100      3.32e-04      3.32e-04    5.6e-05
  28200      2.15e-04      2.15e-04    5.6e-05
  28300      1.42e-04      1.42e-04    5.6e-05
  28400      1.84e-04      1.84e-04    5.6e-05
  28500      2.32e-04      2.32e-04    5.6e-05
  28600      1.81e-04      1.81e-04    5.6e-05
  28700      2.47e-04      2.47e-04    5.6e-05
  28800      1.22e-04      1.22e-04    5.6e-05
  28900      1.26e-04      1.26e-04    5.6e-05
  29000      1.39e-04      1.39e-04    5.6e-05
  29100      3.84e-04      3.84e-04    5.6e-05
  29200      1.73e-04      1.73e-04    5.6e-05
  29300      1.48e-04      1.48e-04    5.6e-05
  29400      1.35e-04      1.35e-04    5.6e-05
  29500      2.91e-04      2.91e-04    5.6e-05
  29600      1.36e-04      1.36e-04    5.6e-05
  29700      1.39e-04      1.39e-04    5.6e-05
  29800      1.37e-04      1.37e-04    5.6e-05
  29900      2.08e-04      2.08e-04    5.6e-05
  30000      1.39e-04      1.39e-04    3.2e-05
  30100      1.22e-04      1.22e-04    3.2e-05
  30200      1.22e-04      1.22e-04    3.2e-05
  30300      1.22e-04      1.22e-04    3.2e-05
  30400      1.22e-04      1.22e-04    3.2e-05
  30500      1.22e-04      1.22e-04    3.2e-05
  30600      1.22e-04      1.22e-04    3.2e-05
  30700      1.22e-04      1.22e-04    3.2e-05
  30800      1.22e-04      1.22e-04    3.2e-05
  30900      1.22e-04      1.22e-04    3.2e-05
  31000      1.22e-04      1.22e-04    3.2e-05
  31100      1.22e-04      1.22e-04    3.2e-05
  31200      1.22e-04      1.22e-04    3.2e-05
  31300      1.22e-04      1.22e-04    3.2e-05
  31400      1.23e-04      1.23e-04    3.2e-05
  31500      1.22e-04      1.22e-04    3.2e-05
  31600      1.22e-04      1.22e-04    3.2e-05
  31700      1.41e-04      1.41e-04    3.2e-05
  31800      1.21e-04      1.21e-04    3.2e-05
  31900      1.36e-04      1.36e-04    3.2e-05
  32000      2.42e-04      2.42e-04    3.2e-05
  32100      1.21e-04      1.21e-04    3.2e-05
  32200      1.22e-04      1.22e-04    3.2e-05
  32300      1.22e-04      1.22e-04    3.2e-05
  32400      1.22e-04      1.22e-04    3.2e-05
  32500      1.26e-04      1.26e-04    3.2e-05
  32600      1.29e-04      1.29e-04    3.2e-05
  32700      1.78e-04      1.78e-04    3.2e-05
  32800      1.21e-04      1.21e-04    3.2e-05
  32900      1.21e-04      1.21e-04    3.2e-05
  33000      1.21e-04      1.21e-04    3.2e-05
  33100      1.34e-04      1.34e-04    3.2e-05
  33200      1.22e-04      1.22e-04    3.2e-05
  33300      1.21e-04      1.21e-04    3.2e-05
  33400      1.21e-04      1.21e-04    3.2e-05
  33500      1.33e-04      1.33e-04    3.2e-05
  33600      1.22e-04      1.22e-04    3.2e-05
  33700      1.21e-04      1.21e-04    3.2e-05
  33800      1.22e-04      1.22e-04    3.2e-05
  33900      2.06e-04      2.06e-04    3.2e-05
  34000      1.22e-04      1.22e-04    3.2e-05
  34100      1.57e-04      1.57e-04    3.2e-05
  34200      1.21e-04      1.21e-04    3.2e-05
  34300      1.24e-04      1.24e-04    3.2e-05
  34400      1.22e-04      1.22e-04    3.2e-05
  34500      1.21e-04      1.21e-04    3.2e-05
  34600      1.22e-04      1.22e-04    3.2e-05
  34700      1.23e-04      1.23e-04    3.2e-05
  34800      1.22e-04      1.22e-04    3.2e-05
  34900      1.23e-04      1.23e-04    3.2e-05
  35000      1.29e-04      1.29e-04    1.8e-05
  35100      1.21e-04      1.21e-04    1.8e-05
  35200      1.21e-04      1.21e-04    1.8e-05
  35300      1.21e-04      1.21e-04    1.8e-05
  35400      1.21e-04      1.21e-04    1.8e-05
  35500      1.21e-04      1.21e-04    1.8e-05
  35600      1.21e-04      1.21e-04    1.8e-05
  35700      1.21e-04      1.21e-04    1.8e-05
  35800      1.21e-04      1.21e-04    1.8e-05
  35900      1.21e-04      1.21e-04    1.8e-05
  36000      1.21e-04      1.21e-04    1.8e-05
  36100      1.21e-04      1.21e-04    1.8e-05
  36200      1.21e-04      1.21e-04    1.8e-05
  36300      1.21e-04      1.21e-04    1.8e-05
  36400      1.57e-04      1.57e-04    1.8e-05
  36500      1.21e-04      1.21e-04    1.8e-05
  36600      2.07e-04      2.07e-04    1.8e-05
  36700      1.21e-04      1.21e-04    1.8e-05
  36800      1.24e-04      1.24e-04    1.8e-05
  36900      1.21e-04      1.21e-04    1.8e-05
